devicename,kernelname,samples,channels,elements,beams,integration,precision,reads,writes,avg_time,min_time,max_time,avg_throughput,min_throughput,max_throughput,avg_bandwidth,min_bandwidth,max_bandwidth,percentage_avg_bandwidth,percentage_min_bandwidth,percentage_max_bandwidth,input_avg_bandwidth,input_min_bandwidth,input_max_bandwidth,output_avg_bandwidth,output_min_bandwidth,output_max_bandwidth
GeForce RTX 2080 Ti,Voltage,4096,32,16,32,1,half,16908288,33554432,0.385661,0.384352,0.39008,2784.19,2752.62,2793.64,130.849,129.365,131.293,42.4834,42.0016,42.6276,43.503,43.0097,43.6507,87.0059,86.0194,87.3013
GeForce RTX 2080 Ti,Voltage,4096,32,16,64,1,half,17039360,67108864,0.751462,0.749984,0.754624,2857.75,2845.77,2863.37,111.98,111.51,112.2,36.357,36.2046,36.4286,22.3261,22.2325,22.3701,89.3045,88.9302,89.4804
GeForce RTX 2080 Ti,Voltage,4096,32,16,96,1,half,17170432,100663296,1.12135,1.11955,1.1255,2872.63,2862.03,2877.25,105.082,104.694,105.251,34.1175,33.9916,34.1723,14.9616,14.9064,14.9857,89.7697,89.4384,89.9139
GeForce RTX 2080 Ti,Voltage,4096,32,16,128,1,half,17301504,134217728,1.47992,1.4784,1.48416,2902.17,2893.87,2905.15,102.384,102.091,102.489,33.2415,33.1464,33.2755,11.3366,11.3042,11.3482,90.6928,90.4335,90.7858
GeForce RTX 2080 Ti,Voltage,4096,32,16,160,1,half,17432576,167772160,1.85812,1.8561,1.86515,2889.32,2878.43,2892.47,99.6732,99.2974,99.7819,32.3614,32.2394,32.3967,9.02914,8.99509,9.03898,90.2914,89.9509,90.3898
GeForce RTX 2080 Ti,Voltage,4096,32,16,192,1,half,17563648,201326592,2.22074,2.21923,2.22669,2901.04,2893.29,2903.01,98.5666,98.3031,98.6333,32.0021,31.9166,32.0238,7.5548,7.53461,7.55992,90.6576,90.4153,90.719
GeForce RTX 2080 Ti,Voltage,4096,32,16,224,1,half,17694720,234881024,2.57851,2.57584,2.584,2914.94,2908.74,2917.96,97.9542,97.746,98.0557,31.8033,31.7357,31.8363,6.50656,6.49273,6.5133,91.0918,90.8982,91.1862
GeForce RTX 2080 Ti,Voltage,4096,32,16,256,1,half,17825792,268435456,2.93948,2.93741,2.94371,2922.27,2918.06,2924.32,97.3851,97.245,97.4537,31.6186,31.5731,31.6408,5.70755,5.69934,5.71157,91.3209,91.1894,91.3851
GeForce RTX 2080 Ti,Voltage,4096,32,16,288,1,half,17956864,301989888,3.2909,3.21229,3.32032,2936.94,2910.47,3008.35,97.2366,96.3602,99.6009,31.5703,31.2858,32.338,5.09885,5.05289,5.22282,91.7793,90.952,94.0108
GeForce RTX 2080 Ti,Voltage,4096,32,16,320,1,half,18087936,335544320,3.6695,3.5767,3.69526,2926.5,2905.72,3002.04,96.383,95.6988,98.871,31.2932,31.071,32.101,4.57265,4.54019,4.69069,91.4531,90.8039,93.8138
GeForce RTX 2080 Ti,Voltage,4096,32,16,352,1,half,18219008,369098752,3.99563,3.9136,4.0417,2956.6,2922.33,3017.98,96.9544,95.8305,98.9671,31.4787,31.1138,32.1322,4.19972,4.15103,4.2869,92.3937,91.3227,94.3118
GeForce RTX 2080 Ti,Voltage,4096,32,16,384,1,half,18350080,402653184,4.37116,4.27923,4.41542,2948.26,2918.16,3011.03,96.3317,95.3483,98.3829,31.2765,30.9572,31.9425,3.83887,3.79968,3.92061,92.133,91.1924,94.0947
GeForce RTX 2080 Ti,Voltage,4096,32,16,416,1,half,18481152,436207616,4.71315,4.62653,4.77635,2962.3,2922.45,3017.09,96.494,95.1958,98.2786,31.3292,30.9077,31.9086,3.56046,3.51256,3.62631,92.5719,91.3265,94.284
GeForce RTX 2080 Ti,Voltage,4096,32,16,448,1,half,18612224,469762048,5.06536,4.97782,5.13789,2968.37,2925.79,3019.87,96.4367,95.0535,98.11,31.3106,30.8615,31.8539,3.31291,3.26539,3.37039,92.7614,91.431,94.371
GeForce RTX 2080 Ti,Voltage,4096,32,16,480,1,half,18743296,503316480,5.4388,5.34544,5.52163,2962.04,2916.91,3013.06,96.0107,94.5481,97.6645,31.1723,30.6974,31.7093,3.08546,3.03845,3.1386,92.5637,91.1536,94.1581
GeForce RTX 2080 Ti,Voltage,4096,32,16,512,1,half,18874368,536870912,5.75983,5.67942,5.86182,2983.37,2930.81,3024.93,96.5081,94.8076,97.8524,31.3338,30.7817,31.7703,2.91345,2.86212,2.95403,93.2305,91.5877,94.5291
