devicename,kernelname,samples,channels,elements,beams,integration,precision,reads,writes,avg_time,min_time,max_time,avg_throughput,min_throughput,max_throughput,avg_bandwidth,min_bandwidth,max_bandwidth,percentage_avg_bandwidth,percentage_min_bandwidth,percentage_max_bandwidth,input_avg_bandwidth,input_min_bandwidth,input_max_bandwidth,output_avg_bandwidth,output_min_bandwidth,output_max_bandwidth
GeForce RTX 2080 Ti,StokesI,4096,32,16,32,1,half,16908288,8388608,0.431379,0.428544,0.450304,3734.09,3576.72,3758.34,58.649,56.1774,59.0299,19.0419,18.2394,19.1655,38.8967,37.2575,39.1493,19.4484,18.6288,19.5747
GeForce RTX 2080 Ti,StokesI,4096,32,16,64,1,half,17039360,16777216,0.836163,0.833792,0.854784,3852.5,3768.47,3863.34,40.4437,39.5615,40.5576,13.1311,12.8447,13.168,20.0651,19.6274,20.1216,20.0651,19.6274,20.1216
GeForce RTX 2080 Ti,StokesI,4096,32,16,96,1,half,17170432,25165824,1.23951,1.23632,1.25712,3898.24,3843.58,3908.24,34.1561,33.6772,34.2438,11.0897,10.9341,11.1181,13.5356,13.3458,13.5703,20.3033,20.0186,20.3554
GeForce RTX 2080 Ti,StokesI,4096,32,16,128,1,half,17301504,33554432,1.64278,1.63978,1.66208,3921.71,3876.14,3928.86,30.9575,30.5978,31.014,10.0511,9.93434,10.0695,10.2128,10.0941,10.2314,20.4256,20.1882,20.4628
GeForce RTX 2080 Ti,StokesI,4096,32,16,160,1,half,17432576,41943040,2.0486,2.04518,2.06515,3931.03,3899.5,3937.57,28.9837,28.7512,29.0319,9.41028,9.33481,9.42595,8.18965,8.12396,8.20328,20.4741,20.3099,20.5082
GeForce RTX 2080 Ti,StokesI,4096,32,16,192,1,half,17563648,50331648,2.452,2.44874,2.46918,3941.14,3913.71,3946.39,27.6898,27.4971,27.7267,8.99019,8.92762,9.00217,6.84226,6.79464,6.85138,20.5268,20.3839,20.5541
GeForce RTX 2080 Ti,StokesI,4096,32,16,224,1,half,17694720,58720256,2.85462,2.8511,2.87197,3949.49,3925.63,3954.36,26.7689,26.6072,26.8019,8.69121,8.6387,8.70191,5.87722,5.84171,5.88446,20.5703,20.446,20.5956
GeForce RTX 2080 Ti,StokesI,4096,32,16,256,1,half,17825792,67108864,3.25683,3.25379,3.27613,3956.28,3932.97,3959.96,26.079,25.9253,26.1033,8.4672,8.41731,8.47509,5.1514,5.12105,5.1562,20.6056,20.4842,20.6248
GeForce RTX 2080 Ti,StokesI,4096,32,16,288,1,half,17956864,75497472,3.63883,3.54909,3.68019,3984.17,3938.79,4084.29,25.6864,25.3939,26.3319,8.33975,8.24476,8.54933,4.61131,4.55879,4.72719,20.7509,20.5145,21.2724
GeForce RTX 2080 Ti,StokesI,4096,32,16,320,1,half,18087936,83886080,4.04522,3.94173,4.08448,3981.99,3943.25,4086.06,25.2115,24.9662,25.8704,8.18555,8.10592,8.39948,4.1479,4.10755,4.25631,20.7395,20.5378,21.2815
GeForce RTX 2080 Ti,StokesI,4096,32,16,352,1,half,18219008,92274688,4.42537,4.32982,4.48371,4004.23,3951.36,4091.79,24.9731,24.6434,25.5192,8.10816,8.00109,8.28546,3.79189,3.74181,3.8748,20.8554,20.58,21.3114
GeForce RTX 2080 Ti,StokesI,4096,32,16,384,1,half,18350080,100663296,4.82417,4.72176,4.88384,4007.13,3957.41,4093.25,24.675,24.3688,25.2053,8.01136,7.91195,8.18354,3.47841,3.43525,3.55317,20.8705,20.6115,21.319
GeForce RTX 2080 Ti,StokesI,4096,32,16,416,1,half,18481152,109051904,5.2092,5.11261,5.28925,4020.29,3958.59,4095.36,24.4876,24.1118,24.9448,7.95051,7.82849,8.09897,3.22139,3.17195,3.28154,20.939,20.6177,21.33
GeForce RTX 2080 Ti,StokesI,4096,32,16,448,1,half,18612224,117440512,5.60644,5.50384,5.6937,4022.8,3960.27,4096.88,24.2726,23.8953,24.7196,7.88071,7.75822,8.02585,2.99315,2.94663,3.04827,20.9521,20.6264,21.3379
GeForce RTX 2080 Ti,StokesI,4096,32,16,480,1,half,18743296,125829120,5.99562,5.89062,6.09469,4030.35,3963.98,4101.3,24.1183,23.7211,24.5428,7.8306,7.70164,7.96844,2.79885,2.75276,2.84812,20.9914,20.6457,21.3609
GeForce RTX 2080 Ti,StokesI,4096,32,16,512,1,half,18874368,134217728,6.37795,6.28365,6.49574,4041.33,3967.18,4101.09,24.0086,23.5681,24.3636,7.79499,7.65197,7.91025,2.63108,2.5828,2.66998,21.0486,20.6624,21.3598
GeForce RTX 2080 Ti,StokesI,4096,32,16,544,1,half,19005440,142606336,6.76775,6.67149,6.9017,4046.68,3967.2,4104.09,23.8854,23.4162,24.2242,7.75499,7.60268,7.86502,2.47958,2.43088,2.51476,21.0765,20.6625,21.3755
GeForce RTX 2080 Ti,StokesI,4096,32,16,576,1,half,19136512,150994944,7.1673,7.06413,7.30042,4045.79,3971.15,4103.98,23.7424,23.3044,24.0839,7.70857,7.56635,7.81943,2.34131,2.29812,2.37499,21.0718,20.6831,21.3749
GeForce RTX 2080 Ti,StokesI,4096,32,16,608,1,half,19267584,159383552,7.54792,7.4528,7.70458,4055.24,3971.88,4106.06,23.6743,23.1877,23.971,7.68646,7.52846,7.7828,2.22327,2.17757,2.25113,21.121,20.6869,21.3857
GeForce RTX 2080 Ti,StokesI,4096,32,16,640,1,half,19398656,167772160,7.93679,7.84384,8.10518,4059.44,3974.28,4106.69,23.5875,23.0927,23.8621,7.6583,7.49764,7.74745,2.11429,2.06994,2.1389,21.1429,20.6994,21.389
GeForce RTX 2080 Ti,StokesI,4096,32,16,672,1,half,19529728,176160768,8.3362,8.23075,8.5056,4058.26,3976.54,4109.33,23.4801,23.0073,23.7755,7.6234,7.46989,7.71933,2.01303,1.97249,2.03836,21.1368,20.7112,21.4028
GeForce RTX 2080 Ti,StokesI,4096,32,16,704,1,half,19660800,184549376,8.7191,8.62323,8.91267,4064.76,3975.63,4109.07,23.426,22.9123,23.6814,7.60586,7.43907,7.68877,1.9246,1.8824,1.94558,21.1706,20.7064,21.4014
GeForce RTX 2080 Ti,StokesI,4096,32,16,736,1,half,19791872,192937984,9.10998,9.01459,9.30995,4067.1,3978.98,4109.35,23.3558,22.8497,23.5984,7.58305,7.41874,7.66181,1.84198,1.80207,1.86112,21.1828,20.7238,21.4029
GeForce RTX 2080 Ti,StokesI,4096,32,16,768,1,half,19922944,201326592,9.49502,9.4033,9.72022,4071.87,3976.73,4110.76,23.3063,22.7618,23.5289,7.56698,7.39019,7.63926,1.7673,1.72601,1.78418,21.2076,20.7121,21.4102
GeForce RTX 2080 Ti,StokesI,4096,32,16,800,1,half,20054016,209715200,9.88771,9.79267,10.119,4073.07,3979.18,4111.78,23.2425,22.7067,23.4634,7.54626,7.3723,7.61798,1.69711,1.65799,1.71324,21.2139,20.7249,21.4155
GeForce RTX 2080 Ti,StokesI,4096,32,16,832,1,half,20185088,218103808,10.2817,10.184,10.5201,4073.68,3980.58,4111.93,23.1807,22.6509,23.3984,7.5262,7.35419,7.59687,1.63208,1.59478,1.64741,21.2171,20.7322,21.4163
GeForce RTX 2080 Ti,StokesI,4096,32,16,864,1,half,20316160,226492416,10.6738,10.5728,10.9185,4074.93,3982.83,4113.06,23.1274,22.6046,23.3437,7.50888,7.33917,7.57913,1.57212,1.53659,1.58683,21.2236,20.7439,21.4222
GeForce RTX 2080 Ti,StokesI,4096,32,16,896,1,half,20447232,234881024,11.0678,10.9628,11.3222,4075.43,3983.06,4113.67,23.074,22.551,23.2905,7.49156,7.32177,7.56186,1.51616,1.48179,1.53038,21.2262,20.7451,21.4254
GeForce RTX 2080 Ti,StokesI,4096,32,16,928,1,half,20578304,243269632,11.4607,11.3528,11.7247,4076.27,3983.71,4114.22,23.0265,22.5036,23.2408,7.47612,7.30636,7.54573,1.46418,1.43093,1.47781,21.2306,20.7485,21.4282
GeForce RTX 2080 Ti,StokesI,4096,32,16,960,1,half,20709376,251658240,11.8509,11.744,12.1238,4077.93,3985.41,4114.3,22.987,22.4655,23.1921,7.46333,7.294,7.52989,1.41595,1.38382,1.42858,21.2392,20.7574,21.4287
GeForce RTX 2080 Ti,StokesI,4096,32,16,992,1,half,20840448,260046848,12.23,12.1301,12.5305,4083.24,3984.6,4116.11,22.9712,22.4163,23.1561,7.45819,7.27802,7.51823,1.37206,1.33891,1.3831,21.2669,20.7531,21.4381
