devicename,kernelname,samples,channels,elements,beams,integration,precision,reads,writes,avg_time,min_time,max_time,avg_throughput,min_throughput,max_throughput,avg_bandwidth,min_bandwidth,max_bandwidth,percentage_avg_bandwidth,percentage_min_bandwidth,percentage_max_bandwidth,input_avg_bandwidth,input_min_bandwidth,input_max_bandwidth,output_avg_bandwidth,output_min_bandwidth,output_max_bandwidth
GeForce RTX 2080 Ti,Unpacker,4096,32,16,32,1,half,134217728,16777216,0.0020528,0.002016,0.002112,2043.37,1985.94,2080.51,73561.4,71493.8,74898.3,23883.6,23212.3,24317.6,65387.9,63550.1,66576.3,8173.49,7943.76,8322.03
GeForce RTX 2080 Ti,Unpacker,4096,32,16,64,1,half,134217728,16777216,0.0020704,0.002048,0.002336,2027.64,1795.51,2048,72995,64638.2,73728,23699.7,20986.4,23937.7,64884.5,57456.2,65536,8110.56,7182.03,8192
GeForce RTX 2080 Ti,Unpacker,4096,32,16,96,1,half,134217728,16777216,0.0021392,0.00208,0.0024,1964.33,1747.63,2016.49,70715.8,62914.6,72593.7,22959.7,20426.8,23569.4,62858.5,55924.1,64527.8,7857.31,6990.51,8065.97
GeForce RTX 2080 Ti,Unpacker,4096,32,16,128,1,half,134217728,16777216,0.0021744,0.00208,0.002592,1935.21,1618.17,2016.49,69667.5,58254.2,72593.7,22619.3,18913.7,23569.4,61926.6,51781.5,64527.8,7740.83,6472.69,8065.97
GeForce RTX 2080 Ti,Unpacker,4096,32,16,160,1,half,134217728,16777216,0.0021472,0.00208,0.002624,1959.34,1598.44,2016.49,70536.4,57543.8,72593.7,22901.4,18683.1,23569.4,62699,51150.1,64527.8,7837.37,6393.76,8065.97
GeForce RTX 2080 Ti,Unpacker,4096,32,16,192,1,half,134217728,16777216,0.0020752,0.002016,0.002272,2022.25,1846.08,2080.51,72800.9,66459,74898.3,23636.7,21577.6,24317.6,64711.9,59074.7,66576.3,8088.99,7384.34,8322.03
GeForce RTX 2080 Ti,Unpacker,4096,32,16,224,1,half,134217728,16777216,0.0021136,0.00208,0.002144,1984.59,1956.3,2016.49,71445.4,70426.7,72593.7,23196.6,22865.8,23569.4,63507,62601.6,64527.8,7938.38,7825.19,8065.97
GeForce RTX 2080 Ti,Unpacker,4096,32,16,256,1,half,134217728,16777216,0.0020512,0.002048,0.00208,2044.85,2016.49,2048,73614.6,72593.7,73728,23900.8,23569.4,23937.7,65435.2,64527.8,65536,8179.4,8065.97,8192
GeForce RTX 2080 Ti,Unpacker,4096,32,16,288,1,half,134217728,16777216,0.0020672,0.002016,0.002208,2029.6,1899.59,2080.51,73065.7,68385.4,74898.3,23722.6,22203,24317.6,64947.3,60787,66576.3,8118.41,7598.38,8322.03
GeForce RTX 2080 Ti,Unpacker,4096,32,16,320,1,half,134217728,16777216,0.0020512,0.002048,0.00208,2044.85,2016.49,2048,73614.6,72593.7,73728,23900.8,23569.4,23937.7,65435.2,64527.8,65536,8179.4,8065.97,8192
GeForce RTX 2080 Ti,Unpacker,4096,32,16,352,1,half,134217728,16777216,0.00208,0.002016,0.002272,2018.55,1846.08,2080.51,72667.7,66459,74898.3,23593.4,21577.6,24317.6,64593.5,59074.7,66576.3,8074.19,7384.34,8322.03
GeForce RTX 2080 Ti,Unpacker,4096,32,16,384,1,half,134217728,16777216,0.0020624,0.002016,0.00224,2034.64,1872.46,2080.51,73247.2,67408.5,74898.3,23781.6,21885.9,24317.6,65108.6,59918.6,66576.3,8138.58,7489.83,8322.03
GeForce RTX 2080 Ti,Unpacker,4096,32,16,416,1,half,134217728,16777216,0.0020656,0.002048,0.002144,2030.91,1956.3,2048,73112.7,70426.7,73728,23737.9,22865.8,23937.7,64989,62601.6,65536,8123.63,7825.19,8192
GeForce RTX 2080 Ti,Unpacker,4096,32,16,448,1,half,134217728,16777216,0.0020496,0.002016,0.00208,2046.52,2016.49,2080.51,73674.9,72593.7,74898.3,23920.4,23569.4,24317.6,65488.8,64527.8,66576.3,8186.1,8065.97,8322.03
GeForce RTX 2080 Ti,Unpacker,4096,32,16,480,1,half,134217728,16777216,0.0020576,0.002016,0.002176,2038.88,1927.53,2080.51,73399.5,69391.1,74898.3,23831,22529.6,24317.6,65244,61680.9,66576.3,8155.5,7710.12,8322.03
GeForce RTX 2080 Ti,Unpacker,4096,32,16,512,1,half,134217728,16777216,0.0020672,0.002048,0.002272,2030.03,1846.08,2048,73081,66459,73728,23727.6,21577.6,23937.7,64960.9,59074.7,65536,8120.11,7384.34,8192
GeForce RTX 2080 Ti,Unpacker,4096,32,16,544,1,half,134217728,16777216,0.0020672,0.002016,0.002272,2030.12,1846.08,2080.51,73084.5,66459,74898.3,23728.7,21577.6,24317.6,64964,59074.7,66576.3,8120.5,7384.34,8322.03
GeForce RTX 2080 Ti,Unpacker,4096,32,16,576,1,half,134217728,16777216,0.0020544,0.002048,0.002112,2041.75,1985.94,2048,73502.9,71493.8,73728,23864.6,23212.3,23937.7,65335.9,63550.1,65536,8166.98,7943.76,8192
GeForce RTX 2080 Ti,Unpacker,4096,32,16,608,1,half,134217728,16777216,0.002064,0.002048,0.002176,2032.57,1927.53,2048,73172.6,69391.1,73728,23757.3,22529.6,23937.7,65042.3,61680.9,65536,8130.29,7710.12,8192
GeForce RTX 2080 Ti,Unpacker,4096,32,16,640,1,half,134217728,16777216,0.0020544,0.002016,0.002144,2041.99,1956.3,2080.51,73511.5,70426.7,74898.3,23867.4,22865.8,24317.6,65343.6,62601.6,66576.3,8167.95,7825.19,8322.03
GeForce RTX 2080 Ti,Unpacker,4096,32,16,672,1,half,134217728,16777216,0.0020672,0.002048,0.002272,2030.08,1846.08,2048,73082.7,66459,73728,23728.2,21577.6,23937.7,64962.4,59074.7,65536,8120.3,7384.34,8192
GeForce RTX 2080 Ti,Unpacker,4096,32,16,704,1,half,134217728,16777216,0.002096,0.002048,0.002304,2003.83,1820.44,2048,72137.8,65536,73728,23421.4,21277.9,23937.7,64122.5,58254.2,65536,8015.31,7281.78,8192
GeForce RTX 2080 Ti,Unpacker,4096,32,16,736,1,half,134217728,16777216,0.0020512,0.002016,0.00208,2044.95,2016.49,2080.51,73618.2,72593.7,74898.3,23902,23569.4,24317.6,65438.4,64527.8,66576.3,8179.8,8065.97,8322.03
GeForce RTX 2080 Ti,Unpacker,4096,32,16,768,1,half,134217728,16777216,0.0020624,0.002016,0.002304,2035.1,1820.44,2080.51,73263.5,65536,74898.3,23786.8,21277.9,24317.6,65123.1,58254.2,66576.3,8140.39,7281.78,8322.03
GeForce RTX 2080 Ti,Unpacker,4096,32,16,800,1,half,134217728,16777216,0.0020688,0.002016,0.002304,2029.12,1820.44,2080.51,73048.4,65536,74898.3,23717,21277.9,24317.6,64931.9,58254.2,66576.3,8116.49,7281.78,8322.03
